Designator,Mid X,Mid Y,Layer,Rotation
C1,10.92,17.53,Top,0
C2,13.97,17.53,Top,180
C3,10.92,11.81,Top,0
C4,13.97,11.81,Top,180
C5,10.92,6.6,Top,0
C6,13.97,6.6,Top,180
C7,5.33,7.11,Top,270
C8,5.33,2.79,Top,90
IC1,12.45,14.99,Top,180
IC2,12.45,9.27,Top,180
IC3,12.45,3.94,Top,180
R1,4.32,17.91,Top,90
R2,5.59,17.91,Top,90
R3,6.86,17.91,Top,90
R4,8.13,17.91,Top,90
