Designator,Mid X,Mid Y,Layer,Rotation
C1,13.08,41.66,Top,0
C2,16.13,41.66,Top,180
C3,13.08,35.94,Top,0
C4,16.13,35.94,Top,180
C5,13.08,30.73,Top,0
C6,16.13,30.73,Top,180
C7,16.76,22.35,Top,270
C8,16.76,18.03,Top,90
IC1,14.61,39.12,Top,180
IC2,14.61,33.4,Top,180
IC3,14.61,28.07,Top,180
R1,8.79,44.98,Top,90
R2,9.88,44.98,Top,90
R3,10.97,44.98,Top,90
R4,12.07,44.98,Top,90
U$1,12.7,6.08,Top,0
