Designator,Mid X,Mid Y,Layer,Rotation
C1,17.02,26.16,Top,270
C2,17.02,22.86,Top,90
C5,10.92,25.91,Top,270
C6,10.92,22.61,Top,90
C7,4.32,22.86,Top,90
C8,4.32,26.92,Top,270
IC1,14.48,24.64,Top,90
IC3,8.38,24.26,Top,90
R1,8.89,28.32,Top,90
